Comment,Designator,Footprint,LCSC
GPIO_HAT_HEADER,J1,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
T_ETH_ELITE_SOCKET,J2,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,
